date,fund,bench
2024-04-25,-0.00571848,-0.00787178
2024-04-26,0.00678027,0.01155774
2024-04-29,-0.02132825,-0.01568064
2024-04-30,0.00000540,-0.00110465
2024-05-01,0.00906413,0.01214051
2024-05-02,-0.00138493,-0.00213327
2024-05-03,-0.00549135,-0.01886438
2024-05-06,0.01103324,0.00897248
2024-05-07,0.00397768,0.00068567
2024-05-08,-0.00288473,-0.00308691
2024-05-09,0.01607404,0.00947633
2024-05-10,-0.01333297,-0.01704033
2024-05-13,-0.00320971,0.00545342
2024-05-14,-0.01329404,-0.01116844
2024-05-15,0.01472838,0.00705556
2024-05-16,0.00297746,-0.00313888
2024-05-17,0.01738694,0.01051817
2024-05-20,-0.01691910,-0.02090177
2024-05-21,-0.00798262,-0.00857285
2024-05-22,0.01787055,0.00644602
2024-05-23,-0.00239149,0.00574058
2024-05-24,-0.00005433,-0.00037792
2024-05-27,-0.02279266,-0.01086580
2024-05-28,-0.00495992,-0.00525483
2024-05-29,0.00463825,0.00058336
2024-05-30,0.00874425,0.00945542
2024-05-31,-0.00144901,0.00111799
2024-06-03,-0.01735499,-0.01374404
2024-06-04,0.00381519,0.00542547
2024-06-05,-0.00113091,0.00751346
2024-06-06,0.00025684,-0.00346503
2024-06-07,0.01847855,0.01642910
2024-06-10,-0.00767363,-0.00418895
2024-06-11,0.01756728,0.01251907
2024-06-12,0.00009903,-0.00014624
2024-06-13,-0.01307863,-0.01526013
2024-06-14,0.02208299,0.01997060
2024-06-17,-0.01058598,-0.00205740
2024-06-18,0.01119636,0.00688440
2024-06-19,0.01624176,0.01507992
2024-06-20,0.00210679,-0.00128947
2024-06-21,0.00657377,0.00696890
2024-06-24,0.01122002,0.01306636
2024-06-25,-0.00117801,-0.00048234
2024-06-26,0.00790561,0.00293825
2024-06-27,0.00353275,-0.00082850
2024-06-28,0.01600337,0.01532154
2024-07-01,-0.00287724,0.01118487
2024-07-02,-0.00202439,0.00271137
2024-07-03,0.00367388,0.00059948
2024-07-04,0.01653398,0.01067626
2024-07-05,0.00950388,0.01490199
2024-07-08,-0.00711305,-0.00597745
2024-07-09,-0.00945800,-0.00614530
2024-07-10,-0.00429168,-0.00899708
2024-07-11,0.00056784,0.00097823
2024-07-12,-0.00083948,-0.00343760
2024-07-15,-0.00587554,-0.00592529
2024-07-16,-0.00905949,0.00197643
2024-07-17,0.00238481,0.00217900
2024-07-18,0.01867428,0.01693834
2024-07-19,-0.00968369,-0.00718195
2024-07-22,0.01900097,0.01397692
2024-07-23,-0.02339587,-0.01692324
2024-07-24,-0.00362520,-0.00279396
2024-07-25,-0.01322517,-0.01108265
2024-07-26,-0.00368243,-0.00452040
2024-07-29,-0.02525110,-0.02311086
2024-07-30,0.00011974,0.00026049
2024-07-31,-0.00054392,-0.00448559
2024-08-01,0.01067810,0.01799614
2024-08-02,-0.00640410,-0.00081767
2024-08-05,0.01623393,0.01557631
2024-08-06,-0.00570442,-0.00415345
2024-08-07,0.01468117,0.01004224
2024-08-08,-0.00214161,-0.00483507
2024-08-09,-0.00481716,-0.00713315
2024-08-12,0.01106199,0.00205714
2024-08-13,0.00429649,-0.00339153
2024-08-14,0.01125615,0.00601265
2024-08-15,0.00054753,0.00605109
2024-08-16,-0.00721460,0.00130891
2024-08-19,0.00583657,0.00359922
2024-08-20,0.01986320,0.00669555
2024-08-21,-0.01567194,-0.00924774
2024-08-22,0.01094681,0.00737771
2024-08-23,-0.01346536,-0.00877997
2024-08-26,-0.00203724,0.00198271
2024-08-27,-0.00739798,-0.00019030
2024-08-28,0.00685296,0.00303959
2024-08-29,-0.00664778,-0.00729581
2024-08-30,-0.00075446,-0.00032722
2024-09-02,0.00319314,0.00080272
2024-09-03,0.00092378,0.00989282
2024-09-04,-0.01759138,-0.01891927
2024-09-05,-0.01074150,0.00145176
2024-09-06,0.00431716,0.00596303
2024-09-09,-0.00103442,0.00110354
2024-09-10,-0.00786366,-0.00821929
2024-09-11,-0.00616216,-0.01020164
2024-09-12,-0.00753575,-0.00478997
2024-09-13,0.01485922,0.00148371
2024-09-16,0.00493364,0.01232862
2024-09-17,-0.00266793,-0.00408083
2024-09-18,-0.00196190,-0.00440017
2024-09-19,-0.01301237,-0.00989224
2024-09-20,-0.00328752,0.00048054
2024-09-23,0.00186115,0.00390709
2024-09-24,0.00063750,-0.00755562
2024-09-25,-0.00755230,-0.00013726
2024-09-26,0.00078540,-0.00499892
2024-09-27,-0.01172613,-0.00106771
2024-09-30,0.00619808,0.00261885
2024-10-01,-0.01768072,-0.00399833
2024-10-02,-0.01350413,-0.01211218
2024-10-03,0.00915495,0.01118517
2024-10-04,0.00177152,-0.00408998
2024-10-07,-0.00096194,-0.01356936
2024-10-08,0.01497293,0.00751263
2024-10-09,0.01317004,0.01600955
2024-10-10,0.01181044,0.01363465
2024-10-11,0.00148633,0.01032719
2024-10-14,0.00591610,0.00257376
2024-10-15,-0.00040796,-0.00159125
2024-10-16,0.00419323,-0.00053073
2024-10-17,0.00735226,0.01320649
2024-10-18,-0.00948550,-0.00592621
2024-10-21,0.00601234,0.00876956
2024-10-22,0.00937620,0.00383932
2024-10-23,-0.00643609,-0.00198437
2024-10-24,0.01222880,0.00608016
2024-10-25,0.00024117,0.00227417
2024-10-28,0.00440418,0.00008363
2024-10-29,-0.00678600,-0.00258176
2024-10-30,0.00613326,0.00212865
2024-10-31,-0.01297202,-0.01165670
2024-11-01,0.01671425,0.02284430
2024-11-04,-0.02037971,-0.01583227
2024-11-05,-0.01781163,-0.01543761
2024-11-06,0.01332261,0.00562207
2024-11-07,-0.00999795,-0.00842368
2024-11-08,-0.00357394,-0.00945253
2024-11-11,-0.00682985,-0.00671808
2024-11-12,0.00505503,0.00359314
2024-11-13,-0.02213589,-0.01580390
2024-11-14,0.00280471,0.00453546
2024-11-15,-0.00263107,-0.01015537
2024-11-18,-0.01005119,-0.01425072
2024-11-19,0.01069671,0.00039252
2024-11-20,-0.00810646,-0.00531173
2024-11-21,0.00809856,0.01079448
2024-11-22,-0.00249751,0.00876092
2024-11-25,0.00146002,-0.00045900
2024-11-26,0.00897178,0.01062963
2024-11-27,-0.00558416,-0.00062131
2024-11-28,-0.00130894,0.00243102
2024-11-29,-0.00423819,0.00071865
2024-12-02,0.03372402,0.02469833
2024-12-03,0.00169449,0.00255450
2024-12-04,0.00938378,0.00862712
2024-12-05,0.01368900,0.01446013
2024-12-06,0.01349171,0.00964970
2024-12-09,-0.00002027,-0.00212817
2024-12-10,-0.00000980,-0.01017131
2024-12-11,-0.00834677,0.00120560
2024-12-12,-0.00727067,0.00216231
2024-12-13,-0.00560283,-0.00379275
2024-12-16,0.01114735,0.01294189
2024-12-17,0.00329470,-0.00106599
2024-12-18,-0.01445198,-0.00470528
2024-12-19,-0.00765272,-0.01072644
2024-12-20,0.02183384,0.01727865
2024-12-23,-0.00749215,-0.00849973
2024-12-24,-0.00452287,-0.00692133
2024-12-25,-0.00882981,-0.00246215
2024-12-26,-0.01243119,-0.00047566
2024-12-27,0.00563133,0.00109158
2024-12-30,-0.00247177,-0.01066414
2024-12-31,-0.00541408,-0.00859211
2025-01-01,-0.00029248,0.00232084
2025-01-02,-0.00058189,-0.00074183
2025-01-03,0.01778552,0.01202603
2025-01-06,-0.00306710,-0.00652586
2025-01-07,-0.01602950,-0.01387171
2025-01-08,0.00548810,0.00271612
2025-01-09,0.00062893,-0.00379881
2025-01-10,-0.01659831,-0.01095956
2025-01-13,-0.00099422,0.00283197
2025-01-14,-0.02164390,-0.01130949
2025-01-15,0.01083526,0.00500147
2025-01-16,-0.00075186,-0.00616816
2025-01-17,0.01865653,0.01491027
2025-01-20,0.00821215,0.00637584
2025-01-21,-0.00023883,-0.00729544
2025-01-22,-0.02425137,-0.01562689
2025-01-23,-0.01339166,-0.01568748
2025-01-24,0.00489848,0.00698485
2025-01-27,0.01601312,0.00966666
2025-01-28,0.01459196,0.00620736
2025-01-29,-0.00589121,-0.00418036
2025-01-30,0.01131086,0.00332595
2025-01-31,0.01584504,0.02041511
2025-02-03,-0.00159277,0.00303516
2025-02-04,0.00305738,0.00065671
2025-02-05,-0.01407108,-0.00994390
2025-02-06,0.00069096,0.00957614
2025-02-07,-0.01883439,-0.01341110
2025-02-10,-0.00512716,-0.00389067
2025-02-11,-0.00319765,-0.00199431
2025-02-12,0.00201677,0.00483388
2025-02-13,0.02070067,0.00966470
2025-02-14,0.01652909,0.01408135
2025-02-17,-0.00752504,-0.00159327
2025-02-18,0.00488102,0.00808016
2025-02-19,0.01549761,0.01094895
2025-02-20,-0.01247518,-0.01169213
2025-02-21,-0.00344867,-0.00807686
2025-02-24,-0.01443831,-0.00067873
2025-02-25,-0.00117097,0.00067218
2025-02-26,0.01600922,0.01202870
2025-02-27,0.01399652,0.00169362
2025-02-28,-0.01465711,-0.00526433
2025-03-03,0.00084691,-0.00422895
2025-03-04,-0.01101287,-0.01598796
2025-03-05,-0.00193885,-0.00323990
2025-03-06,0.01218756,0.00937922
2025-03-07,0.01044518,0.00230150
2025-03-10,0.01162279,0.00971836
2025-03-11,-0.01619158,-0.00764205
2025-03-12,0.01500172,0.01082319
2025-03-13,0.00028066,0.00536935
2025-03-14,0.00426105,0.00519894
2025-03-17,0.00698062,0.01174790
2025-03-18,-0.00176907,-0.00219168
2025-03-19,0.00900350,0.01436677
2025-03-20,0.00564065,0.00149888
2025-03-21,0.00733892,0.01079151
2025-03-24,-0.01125150,-0.00569402
2025-03-25,-0.00554090,-0.01700335
2025-03-26,0.01205994,0.00528522
2025-03-27,0.01092974,0.00576077
2025-03-28,-0.00194874,0.00074816
2025-03-31,-0.00522417,-0.00943104
2025-04-01,-0.00006340,-0.00013197
2025-04-02,-0.00907420,-0.00937042
2025-04-03,-0.02148228,-0.01128619
2025-04-04,0.00959940,0.00206063
2025-04-07,0.01401093,0.00525948
2025-04-08,-0.01745916,-0.01133577
2025-04-09,0.02665236,0.01888659
2025-04-10,0.01833256,0.01672904
2025-04-11,-0.00342343,-0.00676322
2025-04-14,0.00036394,0.00553234
2025-04-15,0.00397848,0.00709899
2025-04-16,-0.01812805,-0.00447701
2025-04-17,-0.00267841,-0.00643560
2025-04-18,0.00700456,0.00894841
2025-04-21,-0.00694858,-0.00453885
2025-04-22,-0.00689407,-0.00025537
2025-04-23,0.00496009,0.00288292
2025-04-24,0.00539449,0.01305200
2025-04-25,0.00028832,-0.00785123
2025-04-28,0.00737925,-0.00388370
2025-04-29,0.00591949,0.00297098
2025-04-30,0.00407951,0.00538381
2025-05-01,0.00499717,-0.00012044
2025-05-02,0.00871638,0.00426567
2025-05-05,-0.00615295,-0.00234974
2025-05-06,0.00087287,0.00912358
2025-05-07,-0.01159758,-0.01296615
2025-05-08,-0.00140267,-0.00488239
2025-05-09,0.01622047,0.01263697
2025-05-12,-0.01207209,-0.00400067
2025-05-13,0.01336135,-0.00135411
2025-05-14,0.01388831,0.01656310
2025-05-15,-0.00858683,-0.00387028
2025-05-16,0.00187560,0.00057222
2025-05-19,0.00946147,0.00449971
2025-05-20,0.02432957,0.01088657
2025-05-21,0.02561698,0.01567647
2025-05-22,-0.00378840,-0.00560841
2025-05-23,0.00171678,0.00549347
2025-05-26,0.00399465,0.00888084
2025-05-27,0.00290807,0.00430354
2025-05-28,0.01103423,0.01016215
2025-05-29,0.01364038,0.00617261
2025-05-30,-0.01804923,-0.00740312
2025-06-02,0.02131242,0.01416782
2025-06-03,-0.03241396,-0.02930301
2025-06-04,-0.00945742,-0.00646015
2025-06-05,0.01871222,0.01601556
2025-06-06,0.00411478,0.00724497
2025-06-09,-0.00032376,0.00008314
2025-06-10,-0.02771988,-0.02730570
2025-06-11,-0.00456820,-0.00782597
2025-06-12,0.00880090,0.01456388
2025-06-13,-0.00593579,0.01076496
2025-06-16,-0.00581885,-0.00364900
2025-06-17,-0.00111817,-0.00123210
2025-06-18,0.00069339,0.00154000
2025-06-19,-0.00737697,-0.01086332
2025-06-20,0.02932493,0.02660775
2025-06-23,0.00510790,0.00581378
2025-06-24,0.00808431,0.00374367
2025-06-25,-0.00977255,-0.01225787
2025-06-26,-0.02106427,-0.00256185
2025-06-27,0.02258896,0.01250428
2025-06-30,0.00407498,0.00155348
2025-07-01,0.00062821,0.00152907
2025-07-02,-0.00284805,0.00004675
2025-07-03,-0.00009354,-0.00421222
2025-07-04,0.00321984,0.00655417
2025-07-07,-0.00180976,-0.00088772
2025-07-08,-0.00849627,-0.00316829
2025-07-09,-0.02853507,-0.01972162
2025-07-10,0.00156769,-0.00652231
2025-07-11,0.00611243,0.00198467
2025-07-14,-0.01261949,-0.00743459
2025-07-15,0.01067927,-0.00190865
2025-07-16,-0.01226897,-0.00464260
2025-07-17,0.02037344,0.01377027
2025-07-18,0.00986739,0.00341060
2025-07-21,-0.00830526,-0.00854241
2025-07-22,0.00316683,0.00260305
2025-07-23,0.01455521,0.01490297
2025-07-24,-0.01066283,-0.00051944
2025-07-25,-0.00527518,-0.01416377
2025-07-28,0.00070843,0.00515137
2025-07-29,-0.01669974,-0.01155454
2025-07-30,0.00097635,-0.00371315
2025-07-31,0.00072861,0.00613473
2025-08-01,-0.01284253,-0.00387804
2025-08-04,0.00734802,-0.00094364
2025-08-05,0.00728300,0.00948221
2025-08-06,-0.00373435,-0.00272728
2025-08-07,-0.01162698,-0.00307207
2025-08-08,-0.00272516,0.00223650
2025-08-11,0.00120680,0.00084857
2025-08-12,-0.00411940,0.00762784
2025-08-13,0.00845038,0.00966499
2025-08-14,-0.00129872,0.00235452
2025-08-15,-0.01448332,-0.00942567
2025-08-18,0.00106461,-0.00141021
2025-08-19,0.00043355,-0.00114636
2025-08-20,-0.01322071,-0.01610051
2025-08-21,0.00848279,0.00207751
2025-08-22,0.00804682,-0.00305676
2025-08-25,-0.02461245,-0.01442604
2025-08-26,-0.00238893,0.00081594
2025-08-27,-0.00946299,-0.00743747
2025-08-28,0.00668845,0.00462540
2025-08-29,0.00596115,-0.00698279
2025-09-01,0.00597465,0.00228782
2025-09-02,0.01232422,0.01427941
2025-09-03,0.00199697,-0.00158370
2025-09-04,0.00081315,-0.00601857
2025-09-05,-0.00691252,-0.01160303
2025-09-08,-0.00930563,-0.00823179
2025-09-09,0.00835146,0.01091092
2025-09-10,-0.01320246,-0.00771223
2025-09-11,0.02029014,0.01533783
2025-09-12,0.00555564,0.00881211
2025-09-15,-0.01448147,-0.01805393
2025-09-16,0.00256789,0.00604039
2025-09-17,0.00401206,-0.00617050
2025-09-18,0.01001280,0.00651545
2025-09-19,0.00812554,0.00569471
2025-09-22,0.00166109,0.00344828
2025-09-23,-0.00692658,0.00427693
2025-09-24,-0.01039834,-0.00898161
2025-09-25,0.00433627,0.00198966
2025-09-26,0.00406230,0.00588276
2025-09-29,-0.00230732,-0.00385570
2025-09-30,-0.00318699,0.00299667
2025-10-01,-0.01147204,-0.01325894
2025-10-02,0.00009082,-0.01251392
2025-10-03,0.01799962,0.01301551
2025-10-06,-0.01436047,-0.00294069
2025-10-07,-0.01774520,-0.00879241
2025-10-08,-0.00334561,-0.00366411
2025-10-09,-0.00180989,-0.00556146
2025-10-10,0.00230582,0.00222099
2025-10-13,0.01062381,0.00169561
2025-10-14,-0.01824680,-0.01365604
2025-10-15,-0.00068204,0.00177832
2025-10-16,0.02117255,0.01423912
2025-10-17,-0.00188114,-0.00720338
2025-10-20,-0.00497441,-0.00733843
2025-10-21,0.03351403,0.02553053
2025-10-22,0.00991321,0.00801223
2025-10-23,0.01659995,0.00933929
2025-10-24,0.01941910,0.01365275
2025-10-27,-0.00480852,-0.00566857
2025-10-28,-0.00312238,-0.00082760
2025-10-29,0.00195957,0.00729170
2025-10-30,-0.00274386,-0.00610741
2025-10-31,-0.00492578,-0.00499872
2025-11-03,-0.00659049,-0.00671180
2025-11-04,0.00832828,0.00122343
2025-11-05,-0.00959359,-0.00672194
2025-11-06,-0.00318906,-0.01137623
2025-11-07,-0.00192339,0.00679929
2025-11-10,-0.01422559,-0.00993313
2025-11-11,0.02669178,0.02538122
2025-11-12,-0.03223166,-0.02392643
2025-11-13,0.00337473,0.00759415
2025-11-14,-0.00095502,-0.00691368
2025-11-17,0.00498912,0.00133509
2025-11-18,0.00826539,0.01524333
2025-11-19,-0.00231601,-0.00179420
2025-11-20,-0.00601235,-0.00441024
2025-11-21,-0.02213135,-0.01564654
2025-11-24,-0.01856481,-0.00976031
2025-11-25,0.00879767,0.00889184
2025-11-26,-0.00919280,-0.01041725
2025-11-27,0.00774945,-0.00146008
2025-11-28,-0.00348928,0.00453056
2025-12-01,0.00660512,0.00740972
2025-12-02,0.00585709,-0.00408743
2025-12-03,0.00430520,-0.00258374
2025-12-04,0.00836057,0.00280804
2025-12-05,-0.00287103,-0.00160200
