blind_id,run_id,model,condition,bucket
B0070,M2_C3_KP6_T1_A_r01,M2,C3,numeric_wrong
B0071,M1_C4_KP4_T1_can_r08,M1,C4,numeric_wrong
B0072,M2_C2_KP4_T3_can_r02,M2,C2,defensible
B0073,M3_C3_KP3_T1_B_r09,M3,C3,numeric_wrong
B0074,M1_C1_KP2_T3_A_r02,M1,C1,numeric_wrong
B0075,M3_C2_KP4_T3_can_r01,M3,C2,defensible
B0076,M1_C3_KP3_T3_B_r07,M1,C3,numeric_wrong
B0077,M1_C1_KP4_T3_A_r02,M1,C1,numeric_wrong
B0078,M3_C3_KP5_T1_A_r05,M3,C3,numeric_wrong
B0079,M3_C3_KP5_T3_A_r02,M3,C3,numeric_wrong
B0080,M3_C1_KP5_T2_A_r05,M3,C1,numeric_wrong
B0081,M1_C3_KP1_T1_A_r04,M1,C3,numeric_wrong
B0082,M2_C3_KP5_T1_A_r04,M2,C3,numeric_wrong
B0083,M3_C2_KP3_T3_can_r04,M3,C2,numeric_wrong
B0084,M3_C1_KP2_T2_B_r09,M3,C1,numeric_wrong
B0085,M2_C1_KP6_T1_A_r04,M2,C1,numeric_wrong
B0086,M1_C2_KP6_T3_can_r04,M1,C2,numeric_wrong
B0087,M2_C1_KP5_T3_A_r02,M2,C1,numeric_wrong
B0088,M1_C1_KP5_T3_B_r08,M1,C1,numeric_wrong
B0089,M1_C3_KP5_T2_A_r03,M1,C3,numeric_wrong
B0090,M1_C4_KP6_T2_can_r01,M1,C4,numeric_wrong
B0091,M2_C3_KP3_T3_B_r10,M2,C3,numeric_wrong
B0092,M3_C3_KP6_T2_A_r05,M3,C3,numeric_wrong
B0093,M3_C3_KP3_T1_A_r04,M3,C3,numeric_wrong
B0094,M2_C3_KP6_T1_B_r06,M2,C3,numeric_wrong
B0095,M1_C1_KP2_T1_A_r05,M1,C1,numeric_wrong
B0096,M1_C3_KP3_T2_B_r07,M1,C3,numeric_wrong
B0097,M3_C3_KP2_T3_A_r03,M3,C3,numeric_wrong
B0098,M1_C3_KP1_T2_A_r01,M1,C3,numeric_wrong
B0099,M1_C3_KP2_T3_B_r10,M1,C3,numeric_wrong
B0100,M2_C3_KP4_T2_A_r02,M2,C3,numeric_wrong
B0101,M3_C3_KP5_T2_A_r04,M3,C3,numeric_wrong
B0102,M1_C1_KP3_T1_A_r02,M1,C1,numeric_wrong
B0103,M1_C2_KP4_T1_can_r03,M1,C2,numeric_wrong
B0104,M3_C3_KP1_T3_A_r03,M3,C3,numeric_wrong
B0105,M1_C4_KP4_T1_can_r10,M1,C4,numeric_wrong
B0106,M1_C2_KP3_T2_can_r08,M1,C2,numeric_wrong
B0107,M3_C1_KP6_T3_B_r08,M3,C1,numeric_wrong
B0108,M3_C3_KP6_T1_B_r10,M3,C3,numeric_wrong
B0109,M3_C1_KP1_T1_B_r09,M3,C1,numeric_wrong
B0110,M1_C3_KP4_T3_A_r04,M1,C3,defensible
B0111,M1_C2_KP3_T2_can_r04,M1,C2,numeric_wrong
B0112,M1_C3_KP6_T2_A_r01,M1,C3,numeric_wrong
B0113,M1_C3_KP3_T1_A_r05,M1,C3,numeric_wrong
B0114,M1_C2_KP6_T1_can_r08,M1,C2,numeric_wrong
B0115,M1_C3_KP5_T3_A_r01,M1,C3,numeric_wrong
B0116,M1_C1_KP1_T2_B_r07,M1,C1,numeric_wrong
B0117,M1_C4_KP4_T1_can_r06,M1,C4,numeric_wrong
B0118,M1_C1_KP3_T1_A_r01,M1,C1,numeric_wrong
B0119,M1_C2_KP4_T1_can_r05,M1,C2,numeric_wrong
B0120,M2_C3_KP6_T1_A_r05,M2,C3,numeric_wrong
B0121,M3_C3_KP4_T3_A_r05,M3,C3,numeric_wrong
B0122,M3_C3_KP2_T3_A_r02,M3,C3,numeric_wrong
B0123,M2_C3_KP6_T2_A_r05,M2,C3,numeric_wrong
B0124,M1_C1_KP1_T3_B_r08,M1,C1,numeric_wrong
B0125,M1_C1_KP2_T3_B_r09,M1,C1,numeric_wrong
B0126,M3_C1_KP3_T3_B_r10,M3,C1,numeric_wrong
B0127,M2_C2_KP3_T3_can_r06,M2,C2,numeric_wrong
B0128,M2_C1_KP6_T1_B_r10,M2,C1,numeric_wrong
B0129,M2_C1_KP4_T3_B_r07,M2,C1,defensible
B0130,M1_C2_KP3_T3_can_r07,M1,C2,numeric_wrong
B0131,M3_C1_KP6_T2_B_r09,M3,C1,numeric_wrong
B0132,M1_C2_KP2_T3_can_r04,M1,C2,numeric_wrong
B0133,M3_C2_KP3_T3_can_r07,M3,C2,numeric_wrong
B0134,M1_C3_KP1_T1_A_r01,M1,C3,numeric_wrong
B0135,M1_C1_KP1_T1_B_r08,M1,C1,numeric_wrong
B0136,M1_C3_KP6_T1_B_r07,M1,C3,numeric_wrong
B0137,M1_C1_KP4_T3_A_r05,M1,C1,numeric_wrong
B0138,M1_C2_KP6_T1_can_r09,M1,C2,numeric_wrong
B0139,M3_C3_KP3_T1_A_r01,M3,C3,numeric_wrong
B0140,M2_C1_KP5_T1_B_r07,M2,C1,numeric_wrong
B0141,M1_C1_KP4_T3_B_r07,M1,C1,numeric_wrong
B0142,M2_C3_KP5_T2_B_r07,M2,C3,numeric_wrong
B0143,M3_C1_KP6_T1_B_r09,M3,C1,numeric_wrong
B0144,M3_C2_KP6_T3_can_r05,M3,C2,numeric_wrong
B0145,M2_C1_KP6_T1_B_r08,M2,C1,numeric_wrong
B0146,M2_C1_KP4_T3_A_r02,M2,C1,numeric_wrong
B0147,M1_C2_KP5_T3_can_r04,M1,C2,numeric_wrong
B0148,M2_C1_KP6_T1_A_r01,M2,C1,numeric_wrong
B0149,M1_C4_KP6_T2_can_r02,M1,C4,numeric_wrong
B0150,M2_C2_KP3_T3_can_r08,M2,C2,numeric_wrong
B0151,M3_C3_KP6_T2_B_r08,M3,C3,numeric_wrong
B0152,M1_C3_KP1_T2_B_r07,M1,C3,numeric_wrong
B0153,M1_C1_KP5_T1_B_r09,M1,C1,numeric_wrong
B0154,M1_C3_KP1_T1_B_r08,M1,C3,numeric_wrong
B0155,M1_C2_KP6_T2_can_r10,M1,C2,numeric_wrong
B0156,M3_C1_KP4_T3_A_r01,M3,C1,numeric_wrong
B0157,M1_C3_KP6_T1_B_r06,M1,C3,numeric_wrong
B0158,M2_C2_KP6_T3_can_r09,M2,C2,numeric_wrong
B0159,M1_C1_KP6_T1_B_r07,M1,C1,numeric_wrong
B0160,M1_C2_KP5_T3_can_r06,M1,C2,numeric_wrong
B0161,M3_C1_KP2_T1_B_r06,M3,C1,numeric_wrong
B0162,M3_C1_KP3_T3_A_r03,M3,C1,numeric_wrong
B0163,M2_C1_KP2_T1_B_r09,M2,C1,numeric_wrong
B0164,M1_C1_KP3_T1_B_r10,M1,C1,numeric_wrong
B0165,M3_C1_KP5_T2_B_r10,M3,C1,numeric_wrong
B0166,M3_C1_KP2_T1_B_r10,M3,C1,numeric_wrong
B0167,M2_C1_KP6_T1_B_r06,M2,C1,numeric_wrong
B0168,M2_C1_KP4_T1_A_r02,M2,C1,numeric_wrong
B0169,M3_C3_KP3_T3_A_r02,M3,C3,numeric_wrong
B0170,M3_C1_KP6_T1_A_r02,M3,C1,numeric_wrong
B0171,M3_C3_KP3_T1_B_r10,M3,C3,numeric_wrong
B0172,M1_C3_KP5_T2_B_r06,M1,C3,numeric_wrong
B0173,M3_C3_KP4_T1_A_r05,M3,C3,numeric_wrong
B0174,M3_C2_KP6_T1_can_r04,M3,C2,numeric_wrong
B0175,M1_C2_KP6_T3_can_r08,M1,C2,numeric_wrong
B0176,M1_C1_KP1_T1_A_r02,M1,C1,numeric_wrong
B0177,M3_C1_KP5_T1_A_r04,M3,C1,numeric_wrong
B0178,M2_C1_KP6_T3_B_r10,M2,C1,numeric_wrong
B0179,M1_C3_KP5_T1_B_r06,M1,C3,numeric_wrong
B0180,M3_C2_KP6_T2_can_r01,M3,C2,numeric_wrong
B0181,M3_C3_KP4_T3_B_r08,M3,C3,numeric_wrong
B0182,M3_C2_KP4_T3_can_r04,M3,C2,defensible
B0183,M1_C3_KP5_T1_B_r07,M1,C3,numeric_wrong
B0184,M1_C1_KP2_T2_A_r03,M1,C1,numeric_wrong
B0185,M1_C1_KP3_T1_A_r05,M1,C1,numeric_wrong
B0186,M1_C3_KP6_T1_B_r10,M1,C3,numeric_wrong
B0187,M1_C3_KP3_T2_B_r10,M1,C3,numeric_wrong
B0188,M1_C3_KP3_T1_A_r01,M1,C3,numeric_wrong
B0189,M1_C1_KP1_T2_B_r08,M1,C1,numeric_wrong
B0190,M1_C1_KP5_T2_B_r06,M1,C1,numeric_wrong
B0191,M1_C2_KP5_T3_can_r05,M1,C2,numeric_wrong
B0192,M3_C1_KP3_T3_B_r08,M3,C1,numeric_wrong
B0193,M3_C3_KP3_T1_A_r05,M3,C3,numeric_wrong
B0194,M1_C1_KP2_T2_A_r05,M1,C1,numeric_wrong
B0195,M2_C2_KP2_T1_can_r02,M2,C2,numeric_wrong
B0196,M3_C3_KP2_T3_A_r01,M3,C3,numeric_wrong
B0197,M2_C3_KP6_T2_B_r08,M2,C3,numeric_wrong
B0198,M3_C1_KP5_T1_A_r01,M3,C1,numeric_wrong
B0199,M1_C1_KP5_T2_B_r07,M1,C1,numeric_wrong
B0200,M1_C1_KP4_T3_A_r03,M1,C1,numeric_wrong
B0201,M1_C3_KP4_T1_A_r02,M1,C3,numeric_wrong
B0202,M3_C3_KP6_T2_A_r04,M3,C3,numeric_wrong
B0203,M1_C1_KP3_T3_A_r05,M1,C1,numeric_wrong
B0204,M1_C1_KP5_T3_B_r10,M1,C1,numeric_wrong
B0205,M1_C3_KP4_T1_A_r04,M1,C3,numeric_wrong
B0206,M3_C3_KP1_T3_B_r09,M3,C3,numeric_wrong
B0207,M3_C1_KP6_T1_B_r06,M3,C1,numeric_wrong
B0208,M3_C3_KP3_T3_A_r03,M3,C3,numeric_wrong
B0209,M3_C1_KP2_T2_B_r06,M3,C1,numeric_wrong
B0210,M1_C3_KP4_T1_A_r05,M1,C3,numeric_wrong
B0211,M3_C1_KP1_T3_B_r06,M3,C1,numeric_wrong
B0212,M1_C1_KP5_T1_A_r05,M1,C1,numeric_wrong
B0213,M1_C1_KP1_T1_A_r01,M1,C1,numeric_wrong
B0214,M1_C3_KP1_T3_B_r08,M1,C3,numeric_wrong
B0215,M3_C2_KP6_T3_can_r03,M3,C2,numeric_wrong
B0216,M1_C1_KP3_T3_A_r01,M1,C1,numeric_wrong
B0217,M1_C2_KP6_T2_can_r02,M1,C2,numeric_wrong
B0218,M1_C1_KP4_T3_B_r08,M1,C1,numeric_wrong
B0219,M1_C3_KP4_T3_B_r09,M1,C3,numeric_wrong
B0220,M2_C2_KP3_T3_can_r07,M2,C2,numeric_wrong
B0221,M1_C1_KP3_T2_A_r05,M1,C1,numeric_wrong
B0222,M1_C2_KP3_T2_can_r06,M1,C2,numeric_wrong
B0223,M3_C2_KP4_T3_can_r03,M3,C2,defensible
B0224,M1_C1_KP1_T1_A_r04,M1,C1,numeric_wrong
B0225,M3_C3_KP6_T1_B_r08,M3,C3,numeric_wrong
B0226,M1_C3_KP1_T3_B_r07,M1,C3,numeric_wrong
B0227,M2_C3_KP2_T3_A_r02,M2,C3,numeric_wrong
B0228,M1_C3_KP5_T1_B_r09,M1,C3,numeric_wrong
B0229,M1_C1_KP1_T1_B_r07,M1,C1,numeric_wrong
B0230,M1_C3_KP3_T3_A_r04,M1,C3,numeric_wrong
B0231,M1_C4_KP3_T1_can_r03,M1,C4,numeric_wrong
B0232,M3_C3_KP1_T1_A_r01,M3,C3,numeric_wrong
B0233,M2_C3_KP4_T3_A_r03,M2,C3,defensible
B0234,M1_C1_KP3_T3_B_r09,M1,C1,numeric_wrong
B0235,M1_C2_KP5_T2_can_r07,M1,C2,numeric_wrong
B0236,M2_C3_KP6_T1_A_r02,M2,C3,numeric_wrong
B0237,M2_C3_KP6_T3_A_r01,M2,C3,numeric_wrong
B0238,M1_C3_KP5_T2_A_r04,M1,C3,numeric_wrong
B0239,M1_C1_KP1_T3_A_r05,M1,C1,numeric_wrong
B0240,M1_C3_KP5_T2_A_r01,M1,C3,numeric_wrong
B0241,M1_C1_KP2_T3_B_r08,M1,C1,numeric_wrong
B0242,M1_C1_KP4_T1_A_r02,M1,C1,numeric_wrong
B0243,M2_C3_KP2_T3_A_r05,M2,C3,numeric_wrong
B0244,M3_C1_KP3_T1_B_r09,M3,C1,numeric_wrong
B0245,M2_C1_KP6_T3_B_r09,M2,C1,numeric_wrong
B0246,M1_C2_KP5_T3_can_r07,M1,C2,numeric_wrong
B0247,M3_C1_KP1_T3_A_r05,M3,C1,numeric_wrong
B0248,M3_C1_KP4_T3_B_r06,M3,C1,numeric_wrong
B0249,M1_C1_KP3_T3_B_r07,M1,C1,numeric_wrong
B0250,M3_C1_KP6_T3_B_r06,M3,C1,numeric_wrong
B0251,M1_C1_KP5_T2_A_r04,M1,C1,numeric_wrong
B0252,M2_C3_KP6_T1_B_r07,M2,C3,numeric_wrong
B0253,M3_C3_KP4_T1_B_r08,M3,C3,numeric_wrong
B0254,M1_C2_KP5_T2_can_r05,M1,C2,numeric_wrong
B0255,M3_C2_KP4_T3_can_r06,M3,C2,defensible
B0256,M3_C3_KP6_T1_A_r01,M3,C3,numeric_wrong
B0257,M1_C3_KP2_T3_B_r08,M1,C3,numeric_wrong
B0258,M1_C2_KP4_T1_can_r09,M1,C2,numeric_wrong
B0259,M1_C3_KP1_T1_B_r10,M1,C3,numeric_wrong
B0260,M1_C1_KP5_T3_B_r06,M1,C1,numeric_wrong
B0261,M1_C3_KP1_T2_B_r09,M1,C3,numeric_wrong
B0262,M3_C1_KP5_T1_B_r08,M3,C1,numeric_wrong
B0263,M3_C1_KP4_T1_A_r04,M3,C1,numeric_wrong
B0264,M1_C2_KP5_T3_can_r09,M1,C2,numeric_wrong
B0265,M1_C3_KP4_T3_A_r02,M1,C3,defensible
B0266,M2_C2_KP2_T3_can_r06,M2,C2,numeric_wrong
B0267,M3_C3_KP5_T2_A_r05,M3,C3,numeric_wrong
B0268,M3_C1_KP4_T3_A_r05,M3,C1,numeric_wrong
B0269,M1_C1_KP2_T3_B_r07,M1,C1,numeric_wrong
B0270,M1_C1_KP3_T2_A_r04,M1,C1,numeric_wrong
B0271,M1_C1_KP4_T3_B_r09,M1,C1,numeric_wrong
B0272,M2_C1_KP6_T3_A_r02,M2,C1,numeric_wrong
B0273,M2_C2_KP4_T3_can_r04,M2,C2,defensible
B0274,M3_C1_KP5_T1_B_r06,M3,C1,numeric_wrong
B0275,M1_C3_KP2_T3_B_r09,M1,C3,numeric_wrong
B0276,M2_C2_KP4_T1_can_r08,M2,C2,numeric_wrong
B0277,M1_C1_KP5_T1_B_r10,M1,C1,numeric_wrong
B0278,M3_C1_KP6_T2_B_r10,M3,C1,numeric_wrong
B0279,M2_C1_KP1_T2_A_r05,M2,C1,numeric_wrong
B0280,M1_C3_KP3_T1_B_r07,M1,C3,numeric_wrong
B0281,M2_C3_KP2_T3_B_r06,M2,C3,numeric_wrong
B0282,M3_C3_KP2_T3_B_r06,M3,C3,numeric_wrong
B0283,M2_C3_KP3_T1_A_r03,M2,C3,numeric_wrong
B0284,M3_C1_KP6_T1_A_r05,M3,C1,numeric_wrong
B0285,M1_C1_KP2_T2_A_r04,M1,C1,numeric_wrong
B0286,M1_C2_KP6_T3_can_r07,M1,C2,numeric_wrong
B0287,M3_C3_KP5_T2_B_r07,M3,C3,numeric_wrong
B0288,M1_C3_KP1_T1_A_r03,M1,C3,numeric_wrong
B0289,M1_C2_KP6_T1_can_r04,M1,C2,numeric_wrong
B0290,M3_C3_KP4_T3_B_r09,M3,C3,numeric_wrong
B0291,M3_C3_KP5_T2_A_r03,M3,C3,numeric_wrong
B0292,M2_C3_KP2_T3_A_r03,M2,C3,numeric_wrong
B0293,M2_C2_KP2_T2_can_r02,M2,C2,numeric_wrong
B0294,M1_C2_KP5_T1_can_r06,M1,C2,numeric_wrong
B0295,M1_C3_KP1_T2_A_r04,M1,C3,numeric_wrong
B0296,M3_C2_KP3_T3_can_r06,M3,C2,numeric_wrong
B0297,M3_C3_KP1_T3_B_r07,M3,C3,numeric_wrong
B0298,M2_C3_KP2_T3_B_r09,M2,C3,numeric_wrong
B0299,M1_C3_KP6_T2_B_r10,M1,C3,numeric_wrong
B0300,M2_C1_KP4_T3_A_r01,M2,C1,numeric_wrong
B0301,M1_C2_KP4_T1_can_r01,M1,C2,numeric_wrong
B0302,M2_C1_KP4_T1_B_r07,M2,C1,numeric_wrong
B0303,M3_C3_KP4_T1_B_r09,M3,C3,numeric_wrong
B0304,M1_C3_KP4_T1_B_r10,M1,C3,numeric_wrong
B0305,M1_C4_KP6_T2_can_r03,M1,C4,numeric_wrong
B0306,M1_C1_KP5_T2_A_r05,M1,C1,numeric_wrong
B0307,M3_C3_KP4_T1_A_r01,M3,C3,numeric_wrong
B0308,M1_C1_KP2_T2_A_r01,M1,C1,numeric_wrong
B0309,M2_C2_KP3_T2_can_r07,M2,C2,numeric_wrong
B0310,M1_C2_KP3_T2_can_r02,M1,C2,numeric_wrong
B0311,M1_C3_KP3_T3_A_r05,M1,C3,numeric_wrong
B0312,M3_C3_KP3_T3_A_r01,M3,C3,numeric_wrong
B0313,M1_C2_KP5_T3_can_r01,M1,C2,numeric_wrong
B0314,M1_C2_KP4_T1_can_r04,M1,C2,numeric_wrong
B0315,M1_C2_KP6_T2_can_r05,M1,C2,numeric_wrong
B0316,M3_C2_KP6_T3_can_r02,M3,C2,numeric_wrong
B0317,M2_C3_KP6_T2_B_r07,M2,C3,numeric_wrong
B0318,M1_C1_KP1_T3_A_r02,M1,C1,numeric_wrong
B0319,M3_C2_KP4_T3_can_r07,M3,C2,defensible
B0320,M3_C1_KP2_T2_B_r07,M3,C1,numeric_wrong
B0321,M3_C3_KP4_T3_B_r10,M3,C3,numeric_wrong
B0322,M2_C3_KP4_T3_A_r05,M2,C3,numeric_wrong
B0323,M1_C1_KP6_T2_B_r07,M1,C1,numeric_wrong
B0324,M2_C1_KP5_T1_A_r04,M2,C1,numeric_wrong
B0325,M1_C3_KP1_T3_A_r05,M1,C3,numeric_wrong
B0326,M2_C3_KP3_T3_A_r04,M2,C3,numeric_wrong
B0327,M1_C3_KP1_T1_B_r06,M1,C3,numeric_wrong
B0328,M3_C3_KP3_T3_B_r10,M3,C3,numeric_wrong
B0329,M1_C1_KP1_T1_A_r05,M1,C1,numeric_wrong
B0330,M1_C3_KP3_T3_B_r09,M1,C3,numeric_wrong
B0331,M2_C3_KP1_T1_B_r07,M2,C3,numeric_wrong
B0332,M1_C3_KP3_T3_B_r06,M1,C3,numeric_wrong
B0333,M1_C2_KP3_T3_can_r02,M1,C2,numeric_wrong
B0334,M3_C3_KP5_T1_B_r07,M3,C3,numeric_wrong
B0335,M1_C3_KP5_T1_B_r08,M1,C3,numeric_wrong
B0336,M3_C2_KP1_T3_can_r08,M3,C2,numeric_wrong
B0337,M1_C1_KP3_T1_A_r03,M1,C1,numeric_wrong
B0338,M2_C2_KP4_T3_can_r03,M2,C2,defensible
B0339,M1_C3_KP2_T3_A_r04,M1,C3,numeric_wrong
B0340,M3_C3_KP6_T1_A_r02,M3,C3,numeric_wrong
B0341,M1_C2_KP3_T3_can_r03,M1,C2,numeric_wrong
B0342,M1_C1_KP4_T1_A_r01,M1,C1,numeric_wrong
B0343,M2_C1_KP5_T1_A_r05,M2,C1,numeric_wrong
B0344,M1_C2_KP6_T3_can_r03,M1,C2,numeric_wrong
B0345,M3_C1_KP6_T1_A_r01,M3,C1,numeric_wrong
B0346,M1_C3_KP1_T1_B_r07,M1,C3,numeric_wrong
B0347,M3_C3_KP6_T1_A_r04,M3,C3,numeric_wrong
B0348,M2_C2_KP3_T3_can_r05,M2,C2,numeric_wrong
B0349,M3_C1_KP1_T1_B_r06,M3,C1,numeric_wrong
B0350,M1_C1_KP5_T3_A_r01,M1,C1,numeric_wrong
B0351,M1_C1_KP2_T1_B_r09,M1,C1,numeric_wrong
B0352,M2_C3_KP6_T2_A_r03,M2,C3,numeric_wrong
B0353,M1_C3_KP5_T1_A_r03,M1,C3,numeric_wrong
B0354,M1_C3_KP1_T2_B_r08,M1,C3,numeric_wrong
B0355,M3_C2_KP3_T3_can_r09,M3,C2,numeric_wrong
B0356,M2_C1_KP5_T3_B_r10,M2,C1,numeric_wrong
B0357,M2_C1_KP2_T1_A_r04,M2,C1,numeric_wrong
B0358,M1_C1_KP5_T2_B_r08,M1,C1,numeric_wrong
B0359,M1_C1_KP3_T2_B_r07,M1,C1,numeric_wrong
B0360,M3_C3_KP1_T1_A_r02,M3,C3,numeric_wrong
B0361,M1_C1_KP4_T3_B_r10,M1,C1,numeric_wrong
B0362,M2_C3_KP6_T1_B_r10,M2,C3,numeric_wrong
B0363,M1_C3_KP4_T3_A_r05,M1,C3,defensible
B0364,M1_C3_KP3_T1_B_r09,M1,C3,numeric_wrong
B0365,M3_C1_KP3_T3_B_r07,M3,C1,numeric_wrong
B0366,M1_C1_KP6_T3_B_r09,M1,C1,numeric_wrong
B0367,M1_C4_KP6_T2_can_r07,M1,C4,numeric_wrong
B0368,M1_C3_KP6_T2_A_r04,M1,C3,numeric_wrong
B0369,M1_C4_KP4_T1_can_r02,M1,C4,numeric_wrong
B0370,M3_C1_KP3_T1_A_r01,M3,C1,numeric_wrong
B0371,M1_C3_KP6_T1_B_r08,M1,C3,numeric_wrong
B0372,M2_C3_KP1_T2_A_r04,M2,C3,vis_failure
B0373,M3_C3_KP5_T1_B_r06,M3,C3,numeric_wrong
B0374,M3_C1_KP1_T3_B_r10,M3,C1,numeric_wrong
B0375,M1_C3_KP1_T3_A_r04,M1,C3,numeric_wrong
B0376,M1_C3_KP5_T1_A_r05,M1,C3,numeric_wrong
B0377,M1_C1_KP6_T2_A_r05,M1,C1,numeric_wrong
B0378,M2_C3_KP4_T1_B_r10,M2,C3,numeric_wrong
B0379,M1_C3_KP4_T3_A_r01,M1,C3,defensible
B0380,M1_C2_KP6_T3_can_r10,M1,C2,numeric_wrong
B0381,M1_C3_KP1_T2_B_r06,M1,C3,numeric_wrong
B0382,M2_C3_KP6_T2_B_r09,M2,C3,numeric_wrong
B0383,M1_C2_KP3_T2_can_r01,M1,C2,numeric_wrong
B0384,M1_C2_KP1_T2_can_r06,M1,C2,numeric_wrong
B0385,M3_C3_KP1_T3_B_r06,M3,C3,numeric_wrong
B0386,M3_C1_KP6_T2_A_r04,M3,C1,numeric_wrong
B0387,M1_C3_KP1_T3_B_r10,M1,C3,numeric_wrong
B0388,M3_C1_KP1_T3_B_r08,M3,C1,numeric_wrong
B0389,M2_C3_KP6_T1_A_r04,M2,C3,numeric_wrong
