run_id,blind_id,condition,model,bucket,mech_class,mech_detail,coder_Q,coder_K,final_class,source,declared,hardcoded
M3_C1_KP4_T1_A_r02,B0029,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M1_C2_KP4_T1_can_r10,B0030,C2,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M1_C1_KP2_T1_B_r07,B0031,C1,M1,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,N,0
M1_C3_KP5_T1_B_r10,B0032,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C3_KP3_T3_A_r05,B0033,C3,M2,numeric_wrong,CV,silent_alt:exact_repricing,CV,CN,CV,mechanical,N,0
M3_C2_KP2_T3_can_r01,B0034,C2,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C1_KP5_T1_A_r03,B0035,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP5_T2_A_r01,B0036,C1,M1,numeric_wrong,UNMATCHED,unmatched,CV,CN,CN,adjudicated,Y,0
M1_C2_KP4_T3_can_r08,B0037,C2,M1,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,Y,0
M2_C3_KP4_T2_B_r06,B0038,C3,M2,numeric_wrong,CN,hardcoded_constant,CV,CV,CN,mechanical,Y,1
M2_C2_KP3_T2_can_r06,B0039,C2,M2,numeric_wrong,CV,percent_x100,CN,CD,CV,mechanical,Y,0
M2_C3_KP6_T1_A_r03,B0040,C3,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CN,adjudicated,N,0
M3_C3_KP6_T2_B_r06,B0041,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated,N,0
M1_C3_KP2_T3_A_r02,B0042,C3,M1,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,N,0
M1_C2_KP3_T3_can_r10,B0043,C2,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP3_T2_B_r09,B0044,C1,M3,numeric_wrong,CN,hardcoded_constant,CD,CD,CN,mechanical,Y,1
M3_C1_KP6_T1_A_r04,B0045,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,CD,CD,CD,ai_agree,N,0
M1_C2_KP5_T2_can_r04,B0046,C2,M1,numeric_wrong,CV,sign_flip,CV,CV,CV,mechanical,N,0
M3_C3_KP3_T3_A_r04,B0047,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP5_T3_A_r02,B0048,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C2_KP2_T3_can_r10,B0049,C2,M2,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M3_C1_KP3_T1_B_r08,B0050,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M3_C1_KP3_T3_A_r05,B0051,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP2_T3_A_r01,B0052,C3,M1,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,N,0
M3_C2_KP2_T3_can_r08,B0053,C2,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C2_KP5_T3_can_r02,B0054,C2,M1,numeric_wrong,CV,sign_flip,CN,CV,CV,mechanical,N,0
M2_C1_KP6_T3_B_r08,B0055,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated,N,0
M2_C2_KP3_T3_can_r10,B0056,C2,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP5_T3_B_r09,B0057,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M1_C2_KP5_T1_can_r02,B0058,C2,M1,numeric_wrong,CV,sign_flip,CN,CV,CV,mechanical,N,0
M1_C1_KP1_T3_A_r04,B0059,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C3_KP3_T2_B_r08,B0060,C3,M2,numeric_wrong,CN,hardcoded_constant,CD,CD,CN,mechanical,Y,1
M3_C1_KP6_T2_B_r06,B0061,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CV,adjudicated,N,0
M1_C3_KP1_T2_B_r10,B0062,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C4_KP6_T2_can_r06,B0063,C4,M1,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated,N,0
M3_C2_KP1_T3_can_r02,B0064,C2,M3,numeric_wrong,CN,hardcoded_constant,CN,CV,CN,mechanical,Y,1
M1_C1_KP1_T1_B_r09,B0065,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated,N,0
M1_C4_KP5_T3_can_r05,B0066,C4,M1,numeric_wrong,CV,sign_flip,CN,CN,CV,mechanical,Y,0
M2_C1_KP6_T2_B_r10,B0067,C1,M2,numeric_wrong,UNMATCHED,unmatched,CN,CV,CD,adjudicated,N,0
M2_C1_KP4_T1_A_r01,B0068,C1,M2,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M3_C2_KP2_T3_can_r05,B0069,C2,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M2_C3_KP6_T1_A_r01,B0070,C3,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CV,CD,CD,adjudicated,N,0
M1_C4_KP4_T1_can_r08,B0071,C4,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M2_C2_KP4_T3_can_r02,B0072,C2,M2,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,N,0
M3_C3_KP3_T1_B_r09,B0073,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP2_T3_A_r02,B0074,C1,M1,numeric_wrong,CV,percent_x100,CN,CN,CV,mechanical,N,0
M3_C2_KP4_T3_can_r01,B0075,C2,M3,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,N,0
M1_C3_KP3_T3_B_r07,B0076,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP4_T3_A_r02,B0077,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C3_KP5_T1_A_r05,B0078,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M3_C3_KP5_T3_A_r02,B0079,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M3_C1_KP5_T2_A_r05,B0080,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP1_T1_A_r04,B0081,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C3_KP5_T1_A_r04,B0082,C3,M2,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M3_C2_KP3_T3_can_r04,B0083,C2,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CV,adjudicated,Y,0
M3_C1_KP2_T2_B_r09,B0084,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CD,CN,mechanical,N,1
M2_C1_KP6_T1_A_r04,B0085,C1,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C2_KP6_T3_can_r04,B0086,C2,M1,numeric_wrong,CV,rf_geometric,CV,CV,CV,mechanical,Y,0
M2_C1_KP5_T3_A_r02,B0087,C1,M2,numeric_wrong,UNMATCHED,unmatched,CV,CV,CV,ai_agree,N,0
M1_C1_KP5_T3_B_r08,B0088,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP5_T2_A_r03,B0089,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C4_KP6_T2_can_r01,B0090,C4,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C3_KP3_T3_B_r10,B0091,C3,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C3_KP6_T2_A_r05,B0092,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C3_KP3_T1_A_r04,B0093,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M2_C3_KP6_T1_B_r06,B0094,C3,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated,N,0
M1_C1_KP2_T1_A_r05,B0095,C1,M1,numeric_wrong,CV,percent_x100,CN,CN,CV,mechanical,N,0
M1_C3_KP3_T2_B_r07,B0096,C3,M1,numeric_wrong,CV,percent_x100,CV,CD,CV,mechanical,Y,0
M3_C3_KP2_T3_A_r03,B0097,C3,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C3_KP1_T2_A_r01,B0098,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP2_T3_B_r10,B0099,C3,M1,numeric_wrong,CV,silent_alt:rf_geometric,CN,CV,CV,mechanical,N,0
M2_C3_KP4_T2_A_r02,B0100,C3,M2,numeric_wrong,CN,hardcoded_constant,CV,CV,CN,mechanical,Y,1
M3_C3_KP5_T2_A_r04,B0101,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP3_T1_A_r02,B0102,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C2_KP4_T1_can_r03,B0103,C2,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M3_C3_KP1_T3_A_r03,B0104,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CD,CN,mechanical,Y,1
M1_C4_KP4_T1_can_r10,B0105,C4,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M1_C2_KP3_T2_can_r08,B0106,C2,M1,numeric_wrong,UNMATCHED,unmatched,CD,CN,CN,adjudicated,Y,0
M3_C1_KP6_T3_B_r08,B0107,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated,N,0
M3_C3_KP6_T1_B_r10,B0108,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CD,CD,adjudicated,Y,0
M3_C1_KP1_T1_B_r09,B0109,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,CD,CD,CD,ai_agree,Y,0
M1_C3_KP4_T3_A_r04,B0110,C3,M1,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,Y,0
M1_C2_KP3_T2_can_r04,B0111,C2,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP6_T2_A_r01,B0112,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CV,CV,adjudicated,N,0
M1_C3_KP3_T1_A_r05,B0113,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C2_KP6_T1_can_r08,B0114,C2,M1,numeric_wrong,CV,rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C3_KP5_T3_A_r01,B0115,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP1_T2_B_r07,B0116,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C4_KP4_T1_can_r06,B0117,C4,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M1_C1_KP3_T1_A_r01,B0118,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C2_KP4_T1_can_r05,B0119,C2,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M2_C3_KP6_T1_A_r05,B0120,C3,M2,numeric_wrong,UNMATCHED,unmatched,CV,CV,CV,ai_agree,Y,0
M3_C3_KP4_T3_A_r05,B0121,C3,M3,numeric_wrong,CV,vega_approximation,CN,CN,CV,mechanical,N,0
M3_C3_KP2_T3_A_r02,B0122,C3,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,N,0
M2_C3_KP6_T2_A_r05,B0123,C3,M2,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated,N,0
M1_C1_KP1_T3_B_r08,B0124,C1,M1,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M1_C1_KP2_T3_B_r09,B0125,C1,M1,numeric_wrong,CV,silent_alt:rf_geometric,CN,CV,CV,mechanical,N,0
M3_C1_KP3_T3_B_r10,B0126,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C2_KP3_T3_can_r06,B0127,C2,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C1_KP6_T1_B_r10,B0128,C1,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C1_KP4_T3_B_r07,B0129,C1,M2,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,N,0
M1_C2_KP3_T3_can_r07,B0130,C2,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP6_T2_B_r09,B0131,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CD,adjudicated:minimax-m3,N,0
M1_C2_KP2_T3_can_r04,B0132,C2,M1,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M3_C2_KP3_T3_can_r07,B0133,C2,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP1_T1_A_r01,B0134,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CD,CD,adjudicated:minimax-m3,N,0
M1_C1_KP1_T1_B_r08,B0135,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP6_T1_B_r07,B0136,C3,M1,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CN,CN,ai_agree,N,0
M1_C1_KP4_T3_A_r05,B0137,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C2_KP6_T1_can_r09,B0138,C2,M1,numeric_wrong,CV,rf_geometric,CV,CV,CV,mechanical,Y,0
M3_C3_KP3_T1_A_r01,B0139,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CD,CN,mechanical,Y,1
M2_C1_KP5_T1_B_r07,B0140,C1,M2,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M1_C1_KP4_T3_B_r07,B0141,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C3_KP5_T2_B_r07,B0142,C3,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP6_T1_B_r09,B0143,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CD,CD,adjudicated:minimax-m3,Y,0
M3_C2_KP6_T3_can_r05,B0144,C2,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated:minimax-m3,N,0
M2_C1_KP6_T1_B_r08,B0145,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CD,CD,CD,ai_agree,N,0
M2_C1_KP4_T3_A_r02,B0146,C1,M2,numeric_wrong,CV,vega_approximation,CN,CN,CV,mechanical,N,0
M1_C2_KP5_T3_can_r04,B0147,C2,M1,numeric_wrong,CV,sign_flip,CV,CV,CV,mechanical,Y,0
M2_C1_KP6_T1_A_r01,B0148,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated:minimax-m3,N,0
M1_C4_KP6_T2_can_r02,B0149,C4,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C2_KP3_T3_can_r08,B0150,C2,M2,numeric_wrong,UNMATCHED,unmatched,CN,CV,CN,adjudicated:minimax-m3,Y,0
M3_C3_KP6_T2_B_r08,B0151,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP1_T2_B_r07,B0152,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP5_T1_B_r09,B0153,C1,M1,numeric_wrong,CV,currency_wan,CN,CN,CV,mechanical,Y,0
M1_C3_KP1_T1_B_r08,B0154,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C2_KP6_T2_can_r10,B0155,C2,M1,numeric_wrong,UNMATCHED,unmatched,CV,CV,CV,ai_agree,Y,0
M3_C1_KP4_T3_A_r01,B0156,C1,M3,numeric_wrong,CV,vega_approximation,CN,CN,CV,mechanical,N,0
M1_C3_KP6_T1_B_r06,B0157,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C2_KP6_T3_can_r09,B0158,C2,M2,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C1_KP6_T1_B_r07,B0159,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C2_KP5_T3_can_r06,B0160,C2,M1,numeric_wrong,CV,sign_flip,CN,CV,CV,mechanical,N,0
M3_C1_KP2_T1_B_r06,B0161,C1,M3,numeric_wrong,CV,percent_x100,CN,CN,CV,mechanical,N,0
M3_C1_KP3_T3_A_r03,B0162,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C1_KP2_T1_B_r09,B0163,C1,M2,numeric_wrong,CV,percent_x100,CN,CN,CV,mechanical,N,0
M1_C1_KP3_T1_B_r10,B0164,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP5_T2_B_r10,B0165,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP2_T1_B_r10,B0166,C1,M3,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,Y,0
M2_C1_KP6_T1_B_r06,B0167,C1,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C1_KP4_T1_A_r02,B0168,C1,M2,numeric_wrong,UNMATCHED,unmatched,CV,CV,CV,ai_agree,N,0
M3_C3_KP3_T3_A_r02,B0169,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C1_KP6_T1_A_r02,B0170,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated:minimax-m3,Y,0
M3_C3_KP3_T1_B_r10,B0171,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M1_C3_KP5_T2_B_r06,B0172,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C3_KP4_T1_A_r05,B0173,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C2_KP6_T1_can_r04,B0174,C2,M3,numeric_wrong,CV,rf_geometric,CV,CV,CV,mechanical,Y,0
M1_C2_KP6_T3_can_r08,B0175,C2,M1,numeric_wrong,CV,silent_alt:ddof_0,CV,CV,CV,mechanical,N,0
M1_C1_KP1_T1_A_r02,B0176,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C1_KP5_T1_A_r04,B0177,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M2_C1_KP6_T3_B_r10,B0178,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated:minimax-m3,N,0
M1_C3_KP5_T1_B_r06,B0179,C3,M1,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M3_C2_KP6_T2_can_r01,B0180,C2,M3,numeric_wrong,UNMATCHED,unmatched,CV,CV,CV,ai_agree,Y,0
M3_C3_KP4_T3_B_r08,B0181,C3,M3,numeric_wrong,CV,vega_approximation,CV,CN,CV,mechanical,N,0
M3_C2_KP4_T3_can_r04,B0182,C2,M3,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,Y,0
M1_C3_KP5_T1_B_r07,B0183,C3,M1,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M1_C1_KP2_T2_A_r03,B0184,C1,M1,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,N,0
M1_C1_KP3_T1_A_r05,B0185,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP6_T1_B_r10,B0186,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP3_T2_B_r10,B0187,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C3_KP3_T1_A_r01,B0188,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP1_T2_B_r08,B0189,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP5_T2_B_r06,B0190,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C2_KP5_T3_can_r05,B0191,C2,M1,numeric_wrong,CV,sign_flip,CV,CV,CV,mechanical,N,0
M3_C1_KP3_T3_B_r08,B0192,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C3_KP3_T1_A_r05,B0193,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP2_T2_A_r05,B0194,C1,M1,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,N,0
M2_C2_KP2_T1_can_r02,B0195,C2,M2,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,Y,0
M3_C3_KP2_T3_A_r01,B0196,C3,M3,numeric_wrong,CV,silent_alt:rf_geometric,CV,CV,CV,mechanical,N,0
M2_C3_KP6_T2_B_r08,B0197,C3,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C1_KP5_T1_A_r01,B0198,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CD,CN,mechanical,Y,1
M1_C1_KP5_T2_B_r07,B0199,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP4_T3_A_r03,B0200,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP4_T1_A_r02,B0201,C3,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M3_C3_KP6_T2_A_r04,B0202,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CV,adjudicated:minimax-m3,Y,0
M1_C1_KP3_T3_A_r05,B0203,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP5_T3_B_r10,B0204,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
